股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
688009,2026-06-22,4.664686,4.70774464,4.72209752,4.5929216,49381800,160334877.94,2.76,0.03,0.2538,0.6135
601857,2026-06-22,9.4934361,9.87732368,9.89807436,9.43118406,79805774,746796905.34,4.91,0.36,1.8233,3.8168
601868,2026-06-22,2.8536029,2.948372,3.0115514,2.8009534,684719008,1889764881.07,7.25,0.04,2.1115,1.4493
601998,2026-06-22,8.88188296,9.00121728,9.01826504,8.72845312,88870442,461515356.94,3.21,-0.02,0.6594,-0.189
601877,2026-06-22,54.8390712,56.43513372,56.45559606,54.0205776,25405976,688565663.92,4.4,1.1,1.1822,1.997
601878,2026-06-22,18.21384168,18.3926592,18.520386,18.08611488,426501480,3065606349.27,2.37,0.1,0.1582,0.5587
601888,2026-06-22,127.12611925,131.62246695,131.76152925,121.4013879,59862217,3260170664.63,8.08,3.38,3.066,2.6387
601916,2026-06-22,4.13892245,4.16660755,4.1804501,4.0973948,154971552,463404842.7,2.01,0.03,0.7193,0.6689
688223,2026-06-22,8.1834872,8.63541112,8.64762528,8.11020224,36331485,250486695.71,6.59,0.48,0.7703,5.8383
603195,2026-06-22,140.86595635,141.29553487,142.65586685,138.82545838,6727720,264765967.85,2.72,0.43,0.3736,0.305
603259,2026-06-22,266.70697552,276.19529076,276.55724284,262.9323324,57196228,5970628411.3,5.13,10.63,2.3126,4.0012
603260,2026-06-22,103.38922099,106.14307401,106.68187134,102.43135907,110079734,1925055362.36,4.1,2.45,0.5202,2.3672
603369,2026-06-22,72.81963753,74.1259556,75.0373403,71.87787334,14379798,348607316.65,4.29,0.49,1.1533,0.6601
603501,2026-06-22,123.8295186,124.73861184,125.17938432,120.92317506,22602050,2024423876.81,3.43,0.81,1.8669,0.6558
603893,2026-06-22,187.82582,185.6689191,188.7030285,179.5284596,12333023,2204837386.55,4.92,-0.77,2.9301,-0.4151
603986,2026-06-22,3636.978395,3901.1259705,3901.1259705,3591.728275,52583095,34699907687.8,8.7,343.34,7.8736,9.6502
605117,2026-06-22,812.6350918,842.789962,853.30550648,804.9030738,29838255,3210496925.92,6.07,44.85,2.3437,5.6202
688008,2026-06-22,284.493072,288.6676986,293.77002,277.277668,79552829,22143863152.81,5.93,10.46,6.9392,3.7607
688036,2026-06-22,88.78541616,91.47290384,92.86580904,87.27780112,19558342,1071567150.4,6.37,3.79,1.699,4.317
688082,2026-06-22,368.56161595,382.0397559,393.54746695,365.65675685,8299904,3100660243.67,7.25,-2.65,1.7385,-0.6891
688169,2026-06-22,387.40483472,393.11370646,393.91215006,374.70958148,8947112,857949276.37,4.94,4.79,3.451,1.2337
688271,2026-06-22,103.04739984,104.83847856,105.31140384,99.8174208,10348722,1049221588.88,5.28,0.71,1.2557,0.6861
688396,2026-06-22,77.01837066,79.2270006,81.89154039,76.5928548,51029887,3983299894.44,7.11,4.67,3.842,6.2644
688506,2026-06-22,228.88,227.48,232.91,220.1,3129098,706189272.92,5.58,-1.95,0.7579,-0.8499
